major_code,major_name,subject_group,point,year,university_code,university_name
7380101,Luật,D78,26.52,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101,Luật,D82,25,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101,Luật,C00,28.36,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101,Luật,A01,24.5,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101,Luật,D01,25.4,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101CLC,Luật chất lượng cao,A01,24.5,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101CLC,Luật chất lượng cao,D01,25.4,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101CLC,Luật chất lượng cao,D78,26.52,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380109,Luật Thương mại quốc tế,A00,26.5,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380109,Luật Thương mại quốc tế,A01,26.5,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380109,Luật Thương mại quốc tế,D01,26.5,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380109,Luật Thương mại quốc tế,D78,26.5,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380109,Luật Thương mại quốc tế,D82,26.5,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật Kinh doanh,D78,25.8,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật Kinh doanh,D82,25.8,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật Kinh doanh,A00,25.8,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật Kinh doanh,A01,25.8,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật Kinh doanh,D01,25.8,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật Kinh doanh,D03,25.8,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101,Luật,,18,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101CLC,Luật chất lượng cao,,18,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380109,Luật thương mại quốc tế,,18,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật kinh doanh,,18,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101,Luật,,19.7,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101CLC,Luật chất lượng cao,,19.7,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380109,Luật thương mại quốc tế,,19.7,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật kinh doanh,,19.7,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101,Luật,,21.38,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380101CLC,Luật chất lượng cao,,21.75,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380109,Luật thương mại quốc tế,,21.75,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
7380110,Luật kinh doanh,,22.63,2024,QHL,Khoa Luật (ĐHQG Hà Nội)
QHQ02,"Kế toán, Phân tích và Kiểm toán",A00; A01; D01; D03; D06; D96; D97; DD0,22.75,2024,QHQ,Khoa Quốc tế (ĐHQG Hà Nội)
